,train_name,train_number,source,destination,distance,total_time,departure,arrival
108,Jhargram - Kharagpur MEMU Special,08018,JHARGRAM,KHARAGPUR JN,38,0 days 00:55:00,22:10:00,23:05:00
109,Kolkata Shalimar-Haridwar Puja Special,08043,KOLKATA SHALIMAR,HARIDWAR JN,1595,1 days 05:45:00,17:20:00,23:05:00
110,Kharagpur- Jhargram MEMU Special,08051,KHARAGPUR JN,JHARGRAM,38,0 days 00:38:00,06:07:00,06:45:00
111,Jhargram - Kharagpur MEMU Special,08052,JHARGRAM,KHARAGPUR JN,38,0 days 00:40:00,18:00:00,18:40:00
112,Shalimar-Tirupati Special,08055,KOLKATA SHALIMAR,TIRUPATI MAIN,1616,1 days 02:10:00,15:50:00,18:00:00
113,Tatanagar Bilaspur Passenger,08113,TATANAGAR JN,BILASPUR JN,470,0 days 14:15:00,16:30:00,06:45:00
114,Bilaspur Tatanagar Passenger,08114,BILASPUR JN,TATANAGAR JN,470,0 days 17:40:00,18:50:00,12:30:00
115,Puri-Bangalore weekly Garib Rath special,08469,PURI,BANGALORE CITY JN,1529,1 days 08:15:00,14:30:00,22:45:00
116,Bangalore-Puri Garib Rath Special,08470,BANGALORE CITY JN,PURI,1529,1 days 05:55:00,23:55:00,05:50:00
117,Bhubaneswar - Tirupati Weekly Special,08471,BHUBANESWAR,TIRUPATI MAIN,1205,0 days 22:00:00,11:45:00,09:45:00
118,Tirupati - Bhubaneswar Weekly Special,08472,TIRUPATI MAIN,BHUBANESWAR,1205,1 days 00:00:00,14:00:00,14:00:00
119,Visakhapatnam-Secunderabad Special,08565,VISHAKAPATNAM,SECUNDERABAD JN,701,0 days 13:20:00,19:40:00,09:00:00
120,Secunderabad Vishakaptnam Special,08566,SECUNDERABAD JN,VISHAKAPATNAM,701,0 days 12:45:00,21:30:00,10:15:00
121,Visakhapatnam Sainagar Shirdi special,08567,VISHAKAPATNAM,SAINAGAR SHIRDI,1403,1 days 05:30:00,05:30:00,11:00:00
122,Shirdi-Visakhapatnam Weekly Special,08568,SAINAGAR SHIRDI,VISHAKAPATNAM,1405,1 days 04:25:00,18:20:00,22:45:00
123,Visakhapatnam-Kollam Sabarimalai Special,08569,VISHAKAPATNAM,KOLLAM JN,1568,1 days 06:30:00,09:00:00,15:30:00
124,Dalli Rajhara Durg Pass,08786,Dalli Rajhara,DURG,88,0 days 02:05:00,18:05:00,20:10:00
125,Raipur-Durg Special,08787,RAIPUR JN,DURG,37,0 days 01:00:00,09:20:00,10:20:00
126,Durg-Raipur Special,08788,DURG,RAIPUR JN,37,0 days 01:00:00,08:05:00,09:05:00
127,Ahmedabad Mumbai Central Superfast Special,09002,AHMEDABAD JN,Mumbai Central,491,0 days 08:05:00,21:40:00,05:45:00
128,BANDRA TERMINUS - JAMMU TAWI AC Suvidha Special (Starts 4 April),09021,MUMBAI BANDRA TERMINUS,JAMMU TAWI,1955,1 days 08:45:00,16:55:00,01:40:00
129,Valsad-Varanasi Weekly Special,09051,VALSAD,VARANASI JN,1467,1 days 05:30:00,19:40:00,01:10:00
130,Porbandar Secunderabad Weekly Special,09221,PORBANDAR,SECUNDERABAD JN,1694,1 days 10:40:00,23:50:00,10:30:00
131,Bandra Terminus Okha Weekly Special,09561,MUMBAI BANDRA TERMINUS,OKHA,980,0 days 20:20:00,23:55:00,20:15:00
132,Hanumangarh Kota Special,09733,HANUMANGARH JN,KOTA JN,852,0 days 15:05:00,18:25:00,09:30:00
133,Kota Hanumangarh Special,09734,KOTA JN,HANUMANGARH JN,852,0 days 16:05:00,16:40:00,08:45:00
134,Kushinagar Express,11015,LOKMANYA TILAK TERM,GORAKHPUR JN,1680,1 days 08:40:00,22:45:00,07:25:00
135,Coimbatore-Mayiladuturai Jan Shatabdi,12084,COIMBATORE JN,MAYILADUTURAI JN,362,0 days 06:40:00,07:00:00,13:40:00
136,InterCity Express,13401,BHAGALPUR,DANAPUR,231,0 days 06:50:00,05:25:00,12:15:00
137,InterCity Express,13410,BHAGALPUR,MALDA TOWN,178,0 days 04:20:00,16:40:00,21:00:00
138,Chennai Beach Tambaram EMU(12 Car),40007,CHENNAI BEACH,TAMBARAM,33,0 days 00:55:00,07:15:00,08:10:00
139,Coimbatore Nagercoil Passenger,56320,COIMBATORE JN,NAGERCOIL JN,532,0 days 13:15:00,07:10:00,20:25:00
140,Durg Dalli Rajhara Pass,08785,DURG,Dalli Rajhara,88,0 days 02:05:00,15:30:00,17:35:00
141,Bijapur Hubli Special,01494,BIJAPUR,HUBLI JN,249,0 days 06:05:00,00:05:00,06:10:00
142,Secunderabad-Porbandar Weekly Special,09222,SECUNDERABAD JN,PORBANDAR,1683,1 days 10:40:00,14:50:00,01:30:00
143,Ahmedabad Yesvantpur (Weekly) Special,09405,AHMEDABAD JN,YESVANTPUR JN,1556,1 days 08:30:00,19:30:00,04:00:00
144,Yeshwantpur-Ahmedabad Special,09406,YESVANTPUR JN,AHMEDABAD JN,1581,1 days 09:20:00,05:50:00,15:10:00
145,Okha - Bandra Terminus Weekly Special,09562,OKHA,MUMBAI BANDRA TERMINUS,980,0 days 18:10:00,11:25:00,05:35:00
146,Ajmer Jaipur SF Special,09621,AJMER JN,JAIPUR,135,0 days 01:55:00,11:45:00,13:40:00
147,Jaipur Ajmer SF Special,09622,JAIPUR,AJMER JN,135,0 days 01:55:00,14:15:00,16:10:00
148,Jaipur Solapur (Weekly) Special,09715,JAIPUR,SOLAPUR JN,1744,1 days 13:40:00,12:55:00,02:35:00
149,Solapur - Jaipur Special,09716,SOLAPUR JN,JAIPUR,1744,1 days 11:45:00,06:45:00,18:30:00
150,Jaipur Delhi Sarai Rohilla SF Special,09721,JAIPUR,DELHI SARAI ROHILLA,303,0 days 04:30:00,06:00:00,10:30:00
151,Jaipur - Sabarmati SF Holiday Spl,09724,JAIPUR,SABARMATI JN,620,0 days 10:50:00,21:30:00,08:20:00
152,Indore-Jaipur Special,09727,INDORE JN BG,JAIPUR,599,0 days 09:30:00,22:30:00,08:00:00
153,Jaipur-Indore Special,09728,JAIPUR,INDORE JN BG,599,0 days 09:55:00,20:40:00,06:35:00
154,Secunderabad-Jaipur Special,09735,SECUNDERABAD JN,JAIPUR,1666,1 days 06:30:00,23:25:00,05:55:00
155,Jaipur - Secunderabad (Weekly) Special,09736,JAIPUR,SECUNDERABAD JN,1669,1 days 06:45:00,21:10:00,03:55:00
156,Rewari - Delhi Sarai Rohilla (Daily) Special,09741,REWARI,DELHI SARAI ROHILLA,78,0 days 01:30:00,14:10:00,15:40:00
157,Delhi Sarai Rohilla - Rewari (Daily) Special,09742,DELHI SARAI ROHILLA,REWARI,78,0 days 01:30:00,11:00:00,12:30:00
158,Surathgarh Anupgarh Passenger,09761,ANUPGARH,SURATGARH JN,78,0 days 01:35:00,07:00:00,08:35:00
159,Suratgarh - Anupgarh Passenger Special,09762,SURATGARH JN,ANUPGARH,76,0 days 01:35:00,18:45:00,20:20:00
160,Surathgarh Anupgarh Passenger,09763,ANUPGARH,SURATGARH JN,78,0 days 01:35:00,20:40:00,22:15:00
161,Suratgarh - Anupgarh Passenger Special,09764,SURATGARH JN,ANUPGARH,78,0 days 01:40:00,05:00:00,06:40:00
162,Phulera Rewari Passenger Special,09765,PHULERA JN,REWARI,216,0 days 05:05:00,11:25:00,16:30:00
163,Rewari-Phulera Passenger Special,09766,REWARI,PHULERA JN,216,0 days 05:05:00,09:10:00,14:15:00
164,Satpura Express,10001,Balaghat Junction,JABALPUR,187,0 days 06:50:00,12:45:00,19:35:00
165,Satpura Express,10002,JABALPUR,Balaghat Junction,187,0 days 06:40:00,05:30:00,12:10:00
166,MUMBAI CST - MADGAON Mandovi Exp,10103,MUMBAI CST,MADGAON,765,0 days 11:50:00,06:55:00,18:45:00
167,MADGAON - MUMBAI CST Mandovi Exp,10104,MADGAON,MUMBAI CST,765,0 days 12:00:00,09:30:00,21:30:00
168,MUMBAI CST - MADGAON Konkan Knaya Exp,10111,MUMBAI CST,MADGAON,765,0 days 11:40:00,23:05:00,10:45:00
169,MADGAON - MUMBAI CST Konkan Knaya Exp,10112,MADGAON,MUMBAI CST,765,0 days 11:50:00,18:00:00,05:50:00
170,Madgaon Ernakulam Weekly Super Fast Express,10215,MADGAON,ERNAKULAM JN,850,0 days 13:25:00,21:30:00,10:55:00
171,Ernakulam Madgaon Weekly SF Express,10216,ERNAKULAM JN,MADGAON,850,0 days 13:25:00,14:35:00,04:00:00
172,DADAR - SAWANTWADI RD Rajya Rani Exp,11003,MUMBAI DADAR CENTRAL,SAWANTWADI ROAD,646,0 days 11:00:00,23:55:00,10:55:00
173,SAWANTWADI RD - DADAR Rajya Rani Exp,11004,SAWANTWADI ROAD,MUMBAI DADAR CENTRAL,646,0 days 12:20:00,18:10:00,06:30:00
174,Deccan Express,11007,MUMBAI CST,PUNE JN,192,0 days 04:00:00,07:10:00,11:10:00
175,Sinhagad Express,11009,MUMBAI CST,PUNE JN,192,0 days 04:10:00,14:30:00,18:40:00
176,Sinhagad Express,11010,PUNE JN,MUMBAI CST,192,0 days 03:50:00,06:05:00,09:55:00
177,Mahalaxmi Express,11011,MUMBAI CST,C SHAHU M RAJ KOLHAPUR TERM,518,0 days 10:57:00,20:23:00,07:20:00
178,Mahalaxmi Express,11012,C SHAHU M RAJ KOLHAPUR TERM,MUMBAI CST,518,0 days 10:55:00,20:30:00,07:25:00
179,Coimbatore Mumbai LTT Express,11014,COIMBATORE JN,LOKMANYA TILAK TERM,1518,1 days 06:30:00,08:00:00,14:30:00
180,Kushinagar Express,11016,GORAKHPUR JN,LOKMANYA TILAK TERM,1680,1 days 09:15:00,19:05:00,04:20:00
181,Chalukya Express,11018,YESVANTPUR JN,MUMBAI DADAR CENTRAL,1205,0 days 23:20:00,06:30:00,05:50:00
182,AMRITSAR - DARBHANGA Jan Nayak Exp,15212,AMRITSAR JN,DARBHANGA JN,1499,1 days 09:05:00,19:05:00,04:10:00
183,Chennai Beach Tambaram EMU(12 Car),40013,CHENNAI BEACH,TAMBARAM,33,0 days 00:55:00,07:47:00,08:42:00
184,Nagercoil Kottayam Passenger,56304,NAGERCOIL JN,KOTTAYAM,231,0 days 07:30:00,12:20:00,19:50:00
185,Kottayam Ernakulam Passenger,56386,KOTTAYAM,ERNAKULAM JN,60,0 days 01:40:00,05:25:00,07:05:00
186,Kottayam Ernakulam Passenger,56390,KOTTAYAM,ERNAKULAM JN,60,0 days 01:40:00,17:15:00,18:55:00
187,Loharu - Jaipur Passenger Spl (MG),02082,Loharu,JAIPUR,229,0 days 06:55:00,02:40:00,09:35:00
188,Jaipur-Loharu MG Passenger Special,02083,JAIPUR,Loharu,229,0 days 06:40:00,23:30:00,06:10:00
189,Loharu - Jaipur Passenger Spl (MG),02084,Loharu,JAIPUR,230,0 days 06:35:00,23:10:00,05:45:00
190,Jaipur - Churu Passenger Spl (MG),02085,JAIPUR,Churu,198,0 days 05:20:00,16:55:00,22:15:00
191,Churu - Jaipur Passenger Spl (MG),02086,Churu,JAIPUR,198,0 days 05:50:00,05:15:00,11:05:00
192,Jaipur - Churu Passenger Spl (MG),02087,JAIPUR,Churu,198,0 days 07:15:00,20:30:00,03:45:00
193,Churu - Jaipur Passenger Spl (MG),02088,Churu,JAIPUR,198,0 days 05:10:00,03:05:00,08:15:00
194,Sikar - Churu Passenger Spl (MG),02089,Sikar Junction,Churu,90,0 days 02:30:00,11:05:00,13:35:00
195,Sikar - Churu Passenger Spl (MG),02090,Churu,Sikar Junction,90,0 days 02:05:00,14:00:00,16:05:00
196,Jaipur Loharu Passenger,02093,JAIPUR,Loharu,229,0 days 06:55:00,07:45:00,14:40:00
197,Ratangarh-Sardarshahar Passenger,02411,Ratangarh Junction,Sardarshahr,46,0 days 01:40:00,11:30:00,13:10:00
198,Sardarshahr-Ratangarh Passenger Special,02412,Sardarshahr,Ratangarh Junction,46,0 days 01:40:00,13:40:00,15:20:00
199,Sadulpur-Shri Ganganagar Passenger Special,02413,Sadulpur Junction,SHRI GANGANAGAR,246,0 days 05:45:00,02:30:00,08:15:00
200,Dibrugarh Guwahati Rajdhani Express,02423,DIBRUGARH TOWN,GUWAHATI,564,0 days 10:00:00,20:15:00,06:15:00
201,Guwahati Dibrugarh Rajdhani Express,02424,GUWAHATI,DIBRUGARH TOWN,564,0 days 10:55:00,18:05:00,05:00:00
202,Dibrugarh Guwahati Rajdhani Express,02435,DIBRUGARH TOWN,GUWAHATI,564,0 days 10:05:00,19:00:00,05:05:00
203,Guwahati Dibrugarh Rajdhani Express,02436,GUWAHATI,DIBRUGARH TOWN,564,0 days 10:40:00,19:45:00,06:25:00
204,Kalka Shimla Holiday Special,02451,Kalka,Shimla,95,0 days 05:10:00,07:00:00,12:10:00
205,Shimla Kalka Holiday Special,02452,Shimla,Kalka,96,0 days 05:20:00,15:50:00,21:10:00
206,Kalka Shimla Holiday Special,02453,Kalka,Shimla,95,0 days 05:25:00,12:45:00,18:10:00
207,Shimla Kalka Holiday Special,02454,Shimla,Kalka,96,0 days 05:55:00,09:25:00,15:20:00
208,Vasco da Gama Bangalore Link Express,02779,VASCO DA GAMA,BANGALORE CITY JN,705,0 days 16:25:00,15:10:00,07:35:00
209,Rajendra Nagar-Tatanagar Special,03283,RAJENDRA NAGAR BIHAR,TATANAGAR JN,496,0 days 10:50:00,23:15:00,10:05:00
